oov_words,mean_cos_sim,c_cut_median,c_cut_mean,c_cut_p25,c_cut_mean_local,c_sharp_1.05,c_sharp_1.005,c_sharp_1.00001,c_sharp_0.95,c_sharp_0.8,c_sharp_0.5,correct_c_num
0,0.5160283446311951,13,13,7,11,7,8,9,10,19,22,11
0,0.5969512462615967,7,8,5,8,6,8,8,9,11,17,6
1,0.6097840666770935,4,4,1,6,3,4,4,5,7,8,4
0,0.5010278820991516,14,14,11,12,9,10,10,11,11,19,10
0,0.5670474767684937,8,8,3,8,5,6,6,7,10,12,6
0,0.651910126209259,3,3,2,4,3,4,4,5,6,8,1
0,0.6850661039352417,1,1,1,4,2,2,2,5,6,6,1
0,0.5855585336685181,8,8,2,10,6,10,10,12,19,20,6
0,0.5967453718185425,6,6,4,6,4,6,6,7,9,10,4
0,0.5872910022735596,5,5,2,5,3,3,3,4,6,9,4
0,0.6276629567146301,4,4,2,4,4,4,4,5,6,9,4
0,0.6401584148406982,4,4,2,7,5,7,7,9,13,15,3
1,0.531989336013794,14,14,8,12,7,8,8,9,14,23,11
0,0.5770099759101868,11,11,4,13,6,8,8,10,16,20,6
0,0.5217956304550171,15,15,11,12,8,8,9,10,14,22,9
0,0.5706084966659546,10,11,4,11,5,5,5,8,14,20,8
0,0.5321089029312134,9,9,5,9,7,7,7,9,10,13,7
0,0.5549548268318176,10,10,6,10,3,4,4,10,14,16,16
0,0.6034008264541626,6,6,3,8,4,4,4,8,11,14,13
0,0.5967263579368591,9,9,6,11,10,10,10,11,15,23,22
0,0.5926119089126587,7,7,2,9,8,8,8,10,12,16,15
1,0.5479506850242615,12,12,9,11,11,12,12,13,14,20,24
0,0.6110406517982483,8,8,5,13,10,10,10,13,16,23,23
1,0.5934421420097351,12,12,6,13,8,9,9,11,20,26,27
0,0.5907723307609558,10,12,5,14,6,6,6,12,20,25,24
0,0.5461382865905762,6,6,4,6,6,6,6,8,8,11,11
0,0.5154969692230225,15,15,10,13,11,11,11,13,17,24,25
0,0.5837008953094482,9,9,2,10,6,9,9,10,13,16,10
0,0.5347110033035278,9,9,6,9,6,7,7,9,10,14,7
0,0.6354352235794067,6,6,3,12,7,7,7,9,15,21,9
0,0.5162095427513123,14,15,8,11,7,8,8,11,13,22,11
0,0.5397351384162903,12,12,9,11,9,10,11,14,20,25,11
1,0.539171040058136,9,9,4,7,4,4,4,6,11,13,8
0,0.5154516100883484,12,12,8,9,7,7,7,8,19,20,17
0,0.6126563549041748,1,2,1,4,1,2,2,4,4,5,2
0,0.6523943543434143,3,3,2,4,3,3,3,4,7,10,4
0,0.5346834063529968,12,12,5,11,7,9,9,10,14,18,10
0,0.5033079385757446,3,4,2,2,2,2,2,4,4,5,4
0,0.5136255025863647,10,10,8,8,7,7,7,8,9,16,6
0,0.477705180644989,13,13,8,10,5,6,6,8,11,15,7
0,0.5234994292259216,12,13,9,12,10,10,11,13,15,19,8
0,0.5144469738006592,4,4,3,4,4,4,5,6,6,6,3
0,0.5612714886665344,14,14,6,14,9,10,10,14,18,24,10
1,0.5076809525489807,19,19,10,12,8,8,9,13,17,24,7
0,0.5987286567687988,10,10,3,12,7,8,8,10,17,22,10
0,0.522784411907196,15,15,5,10,8,9,9,13,18,19,13
